Company Name,Title,Description,Location,Started On,Finished On
Microsoft,Senior Audio Engineer,"In my role at Microsoft's audio laboratory in Tallinn, I contribute to multiple projects focused on the audio quality control of products designed for audio conferencing, including laptops, tablets, headsets, and microphone arrays. These projects take place in various acoustic environments, from anechoic to reverberant spaces, under different background noise conditions, strictly adhering to the Microsoft Audio Certification Program standards.  Key responsibilities & achievements:  - Technical Contribution: Participate in the development and execution of audio quality control projects, ensuring compliance with rigorous audio standards. - Software Development: Develop custom software solutions to enhance testing capabilities and improve workflow efficiency. - Research and Development Support: Provide programming support for advanced speech quality analysis, contributing to the enhancement of voice-over IP (VoIP) technologies. - Acoustic Expertise: Enhanced expertise in acoustic in-lab measurements specifically tailored for the VoIP context, deepening knowledge in the conference devices industry. - Product Development Contribution: Contributed to the success of in-built Windows audio processing objects (part of the Windows effect pack), adapted for a wide range of conference devices and headsets. - Professional Growth: Acquired valuable strategic planning skills within an international context, improving personal and project outcomes.","Tallinn, Comté de Harju, Estonie",Jan 2022,
Vocametrix,Co-Founder & CEO,Vocametrix is a startup developping voice-controlled interactive games and user-friendly speech analysis tools for the speech therapy field.  Website: https://www.vocametrix.com LinkedIn: https://www.linkedin.com/company/vocametrix/,"Tallinn, Comté de Harju, Estonie",Oct 2023,
Hidacs Sàrl - Switzerland,Co-Founder & CEO,"At HIDACS, we specialize in engineering services that encompass acoustics, signal processing, and artificial intelligence. As CEO, I lead our efforts to support organizations in achieving their audio-related objectives, ensuring that our projects reflect the unique needs and goals of each client.  Key responsibilities & achievements:  - Strategic Leadership: Direct the company's strategic vision, fostering innovation in acoustics and audio signal processing to maintain and enhance our market leadership. - Client Engagement: Work closely with our clients to deliver customized solutions that precisely meet their specifications and exceed their expectations in audio performance. - AI Integration: Spearhead the integration of advanced artificial intelligence technologies to automate and optimize audio-related tasks, enhancing audio quality and the overall user experience. - Successfully positioned HIDACS at the forefront of the industry, continuously adapting to and incorporating the latest advancements in AI to set new standards in audio engineering. - Developed strategic partnerships and collaborations that have expanded our market reach and enhanced our service capabilities.  Discover more about our innovative solutions and projects at www.hidacs.ch","Région de Lausanne, Suisse",Feb 2016,
Onfido,Audio Signal Processing Engineer,"During a three-month consultancy, I played a pivotal role in the development of an innovative acoustic-based biometric anti-spoofing solution. This project was part of a transition phase following the acquisition of a startup for which I had previously helped develop the core technology.  Key responsibilities & achievements:  - Technology development: contributed to the enhancement and optimization of acoustic biometric technologies, focusing on anti-spoofing capabilities to improve security measures. - Technical consulting: provided expert insights and guidance during the critical transition phase post-acquisition, ensuring the seamless integration and implementation of the technology. - collaborative efforts: worked closely with the acquiring company’s technical teams to adapt and refine the solution to meet specific operational requirements.","Lausanne, Vaud, Suisse",Oct 2021,Dec 2021
"Haute école du paysage, d'ingénierie et d'architecture de Genève - HEPIA",Scientific Collaborator (HES),"I joined the Geneva Engineering School’s Applied Acoustics Laboratory as a part-time Scientific Collaborator on the EARSENS project. This innovative research initiative aimed to repurpose traditional loudspeakers as safety sensors capable of detecting fire and intrusions in a privacy-conscious manner.  Key responsibilities & achievements:  -	Contributed to the EARSENS project, which explores converting loudspeakers into multifunctional devices, enhancing safety while maintaining privacy. -	Co-authored a significant scientific paper, “Towards the detection and classification of indoor events using a loudspeaker,” published in the Applied Acoustics journal in January 2023. -	Developed and validated a proof of concept for this new technology, demonstrating its feasibility and potential applications in real-world scenarios.","Genève, Suisse",Jul 2020,Sep 2021
Hed Unity,Audio Department Manager,"As an early member of HED Technologies, a high-tech audio company based in Geneva, I initially served as a Signal Processing and Acoustics Specialist, before advancing to manage the Audio Department. Under my leadership, the department grew to include four engineers with expertise in embedded software, machine learning, acoustics, and signal processing. Our team successfully developed the company's inaugural product over five years of R&D, preparing it for entry into the US consumer market in 2021.  Key responsibilities & achievements:  -	Engineered and integrated a suite of signal processing algorithms using Matlab and ARM platforms, tackling challenges such as echo cancellation, voice activity detection, sound design, voice command recognition, speaker identification, noise reduction, and microphone array processing. -	Collaborated with the Mechanical Department on headphone acoustical design. -	Led the development of the production line acoustic testbench to ensure product quality and consistency. -	Authored comprehensive technical documentation, product specifications, and contributed to patent filings. -	Implemented agile management practices within the Audio Department, overseeing the strategic roadmap, planning, task distribution, and providing weekly progress reports to top management.","Plan-les-Ouates, Geneva, Switzerland",Jan 2020,Aug 2021
Hed Unity,Signal Processing & Acoustics Specialist,,"Plan-les-Ouates, Geneva, Switzerland",May 2016,Dec 2019
Prona SA,Environmental Acoustics Project Manager,"At PRONA SA, a private Swiss engineering firm based in Yverdon, I managed diverse building and environmental acoustic projects within the R&D Acoustics Department. We provided tailored acoustic solutions for a wide range of clients, including industrial leaders (such as Nespresso and TetraPak), institutional entities (like OFEV and OFROU), and private stakeholders (architects, citizens, HORECA managers).  Key responsibilities & achievements:  -	Performed normative acoustic measurements and authored comprehensive technical reports for various acoustic contexts, including building, railway, wind turbine, and road acoustics. -	Evaluated and adjusted architectural plans to ensure compliance with Swiss acoustic standards, contributing to the successful execution and approval of projects. -	Developed unique Matlab tools that streamlined data processing, significantly enhancing operational efficiency and project delivery times. -	Actively participated in customer acquisition, expanding the firm’s client base and strengthening relationships across diverse sectors.",Yverdon-les-Bains,Aug 2014,Jun 2016
Ecole polytechnique fédérale de Lausanne,Postdoctoral Research Scientist,"In my position as a research associate at the Acoustics Laboratory of EPFL, I engaged in several Swiss and European research projects and industrial mandates. This role provided me with a pragmatic approach to signal processing issues and broadened my acoustical knowledge through diverse tasks and industrial collaborations.  Key Responsibilities and Achievements:  -	Managed technical aspects of European projects, ensuring adherence to objectives and coordination among international teams. -	Designed innovative audio signal processing algorithms tailored to specific research and industrial applications. -	Developed and executed both laboratory and field experiments to test hypotheses and validate research findings. -	Supervised interns and PhD students, guiding their research activities and supporting their academic development. -	Contributed to scientific literature through writing papers, presenting findings at international conferences, and teaching specialized courses.  Key Collaborations:   Worked closely with industrial partners such as Turbomeca, Alinghi, Phonak, FIAT, and institutional partners including UNIL, HES-SO, IDIAP, CEA, ONERA, ARMASUISSE, fostering interdisciplinary knowledge exchange and practical applications of research.",Lausanne,Mar 2013,Sep 2014
Ecole polytechnique fédérale de Lausanne,PHD Student,"My doctoral research aimed to pioneer a cutting-edge, acoustics-based system to enhance real-time traffic monitoring. The focus was on creating a passive, compact, and non-intrusive system utilizing a few strategically placed microphones along the roadside. This approach significantly simplifies the installation process and minimizes the impact on traffic flow, contrasting sharply with traditional monitoring methods that often rely on multiple, complex setups.  The core of my thesis involved developing robust signal processing techniques that could accurately detect vehicles, estimate their speeds, and calculate their wheelbase lengths using sounds generated by tire-road interactions. These sounds were analyzed using advanced generalized cross-correlation functions among sensor pairs, leading to the development of a novel bimodal particle filter. This new filter variant was particularly adept at enhancing the robustness of speed estimations, even under difficult observational conditions, and was capable of accurately determining wheelbase lengths through passive acoustic measurements.  A unique aspect of my work was the practical validation of these developed algorithms. They were rigorously tested in real-world environments and their performance was benchmarked against standard radar systems and video monitoring techniques. The results demonstrated not only their viability but also their potential superiority in certain aspects of traffic monitoring.  Although my research was primarily focused on road traffic applications, the methodologies I devised have broader implications. They can potentially be adapted for use in rail, aerial, underwater, and industrial metrology settings, showcasing the versatility and far-reaching impact of this work.","Lausanne, Switzerland",Oct 2008,Feb 2013
