Menu,Title,URL,Description,MoreInfo,Industry
Portfolio,GCC-PHAT Time Delay Estimator for Stereo Channels – Executable & C# Source Code,[access the repository](https://github.com/pmarmaroli/gccphat),A command-line tool for estimating the time delay between the two channels of a stereo signal using the Generalized Cross-Correlation Phase Transform (GCC-PHAT) technique,[read the Linkedin article](https://www.linkedin.com/pulse/accurate-time-delay-estimation-gcc-phat-patrick-marmaroli-eu7jf/?trackingId=Wy8nO%2By6Ssqw0ffHPNFgNQ%3D%3D),Developer Tools
Portfolio,Matlab animations,[access the repository](https://github.com/pmarmaroli/matlab-animation),Some Matlab animations of key physics and signal processing Prototypes,,Audio Technology
Portfolio,AES file encryption and decryption,[access the repository](https://github.com/pmarmaroli/CryptoWizard),A versatile command-line tool for AES file encryption decryption and key generation.,,Developer Tools
Portfolio,3D Sound with Matlab,[listen to the demo on Youtube](https://youtu.be/S-NQ4vEIL_w),Implementation of an HRTF-based interface for 3D sound rendering,,Audio Technology
Portfolio,Sound source localization,[see the animation on Youtube](https://youtu.be/gUbjNSG2UK4),Localizing a sound source with a microphone array, [download the Matlab code](https://github.com/pmarmaroli/matlab-animation/blob/main/sound_source_localization_tdoa_two_mics.m),Audio Technology
Portfolio,GCC-PHAT vs classical cross-correlation,[see the animation on Youtube](https://youtu.be/wQo50Ot2UOw),Visualizing Time Delay Estimation with GCC-PHAT and classical cross-correlation,[download the Matlab code](https://github.com/pmarmaroli/matlab-animation/blob/main/time_delay_estimation_xcorr_vs_gccphat.m),Audio Technology
Portfolio,Vocametrix Audio Analysis & Games Platform For Speech Therapy,[no public repo](),A web platform for intuitive audio analysis (pitch - speech transcription - pronunciation assessment - waveform visualization and more),[see the demo and read technical details](/moreinfo/audio_analysis_platform.html) platform,Healthcare & Accessibility
Portfolio,Say one sound,[see the concept on Youtube](https://youtu.be/ap-6O9KR5GU),A prototype of matlab-based game that reacts to voice and phoneme pronunciation,,Healthcare & Accessibility
Portfolio,ChefFantastique,,AI-assistant that generates custom recipes.,[read technical details](/moreinfo/cheffantastique.html),Food & Lifestyle
Portfolio,Pronunciation Assessment Game,[see the demo on Facebook](https://www.facebook.com/reel/888272712718230),Pronunciation Assessment Game for young patients of speech therapists,[read technical details](/moreinfo/pronunciation_assessment_game.html),Healthcare & Accessibility
Portfolio,Audio Comparison Tool,[no public repo](),A web application for scenarios where comparative listening is required both for individual and collaborative use.,[read technical details](/moreinfo/audio_comparison_tool.html),Content Creation & Media
Portfolio,HadithGPT,[no public repo](),An intuitive platform for searching and reading Hadiths using modern LLM technologies,[see the demo and read technical details](/moreinfo/hadithgpt.html),Education & Learning
Portfolio,TroubleShot,[no public repo](),A computer vision-based DIY assistant,[see the demo and read technical details](/moreinfo/troubleshot.html),Other
Portfolio,EARSENS - Privacy-Preserving Indoor Activity Detection,[see project details](https://www.hesge.ch/hepia/en/recherche-developpement/projets-recherche/earsens),An innovative acoustic sensing system using electrodynamic loudspeakers and AI to detect indoor events without microphones ensuring privacy while monitoring occupancy room changes and security events.,,Security & Privacy
Portfolio,Explosive Event Acoustic Detection and Classification,[no public repo](),Advanced real-time audio analysis system for detecting localizing and classifying acoustic events using machine learning and signal processing with multi-channel directional analysis sound level monitoring and YAMNet-based event classification.,,Security & Privacy
Portfolio,Symptom Tracker,[access the repository](https://github.com/pmarmaroli/symptom-tracker),A web-based application designed to help users track and log their symptoms over time,[test the web app and read technical details](/moreinfo/symptom-tracker.html),Healthcare & Accessibility
Portfolio,Acoustic-based Vehicle Detection & Classification,[no public repo](),A MATLAB-based system designed to detect and classify vehicle in real time based on their acoustic signature.,[see the demo and read technical details](/moreinfo/vehicle_audio_detection_and_classification.html),Transportation & Safety
Portfolio,Zelda Quiz Game - Educational Gaming Platform,[no public repo](),An AI-powered educational quiz game with competitive elements featuring real-time data integration external APIs and gamified learning mechanics.,[see the technical implementation details](/moreinfo/zelda_quiz_game.html),Education & Learning
Portfolio,FitPlan - AI-Powered Fitness Program Generator,[no public repo](),An intelligent fitness platform that creates personalized workout programs using AI and YouTube video integration with integrated payment system and email delivery.,[see the technical implementation details](/moreinfo/fitplan_ai_fitness.html),Fitness & Wellness
Portfolio,AI-Powered YouTube Thumbnail Generator,[no public repo](),AI-powered thumbnail generation platform using DALL-E 3 with multi-step wizard comprehensive emotional tone analysis and target audience optimization.,[see the technical implementation details](/moreinfo/youtube_thumbnail_generator.html),Content Creation & Media
Education,2008-2013 - Phd Thesis in Acoustics & Audio Signal Processing,,Swiss Federal Institute of Technology - Switzerland - Bimodal sound source tracking applied to road traffic monitoring, [link to my thesis](https://infoscience.epfl.ch/record/183751?v=pdf),Academic
Education,2007-2008 - Master Thesis in Signal Processing,,Université du Sud Toulon Var - France - Signal Processing & Psychoacoustics & Trajectography,,Academic
Education,2005-2007 - Software Engineering School,,Institut Supérieur de l'Electronique et du Numérique - Toulon France, [school website](https://isen-mediterranee.fr/),Academic
Education, 2003-2005 - Higher School Preparatory Classes,, Lycée Lachenal d'Argonay - France - Physics & Engineering Sciences,,Academic
Education, 1999-2003 - High School,, Lycée Mme de Staël St-Julien-en-Genevois France - Scientific Baccalaureate,,Academic
Positions,Senior Audio Engineer,[Corporate - sound quality for MS Teams](https://digipro.geenius.ee/blogi/microsofti-blogi/tallinnas-kaib-too-lahenduse-kallal-mis-aitaks-ule-maailma-videokonevasimusest-voitu-saada/),Jan 2022 -> Now: MICROSOFT,,Professional
Positions,CEO & Co-Founder,[Startup - Voice-controlled games and audio analysis tools for speech therapy](https://www.vocametrix.com),Oct 2023 -> Now: VOCAMETRIX,,Professional
